title	json_key	type	chapter	description
What are the exemptions to the prohibition for processing of special categories of data (such as health and genetic data) under Art. 9 GDPR used? State cohort/dataset for each type of exemption.	exemptions	question	Legal and ethical aspects	Processing of certain categories of personal data is not allowed unless there are exemptions in law to allow this. Among these categories (“sensitive data”) are “‘[...] data revealing racial or ethnic origin, [...] genetic data, [...] data concerning health’” . Most types of personal data collected in biomedical research will fall under these categories. Article 9 (2) lists a number of exemptions that apply, of which consent and scientific research are most likely to be relevant for research. Please consult with your Data Protection Officer of your organisation.
Expected costs	expectedCosts	question	Storing and protecting data during the project	Indicate expected costs. If you are converting currencies, remember to indicate the conversion rate.
What is the expected total volume of data in the project?	expectedTotalVolume	question	Storing and protecting data during the project	Give a rough estimation of the total data volume you need to store, including working documents, raw data, processed data, and intermediate data storage needs.
What kind of expertise?	expertise	question	Responsibilities and resources	
Will you make explicit cross-reference between physical samples and your digital data?	explicitCrossReferences	question	Reusing and collecting data	Is the identifier of your physical sample present in the metadata for the digital data that associates to it? Will you be able to locate the physical sample if you have the digital data? And how about the reverse?
Will you use external computing resources? (secure computing, HPC)	externalComputingResources	question	Processing, analysing and interpreting data	Also consider if you have to apply and/or budget for this
Will you be using a federated analysis approach?	federatedAnalysis	question	Processing, analysing and interpreting data	In some cases it is not practical to bring all data together: It may be legally hard to collect the data in one place for analysis It may be technically hard to transport data to a single place for analysis In such cases, a Federated analysis approach may be applicable. DataShield is an example of such technique. Secure multi-party computation may be useful too to prevent information leaking between parties.
What file format(s) does the dataset consist of?	fileFormatDataset	question	Archiving and publishing data	List the file types in this dataset. For preservation, data should be stored in open and persistent file formats (ie. formats that do not require proprietary software to open them and still can be used in several years).
Are you using a filesystem with files and folders?	filesFolders	question	Processing, analysing and interpreting data	Are some of the data in the project stored in a filesystem with files and folders?
Will you handle different versions of files or documents?	fileVersioningDocs	question	Processing, analysing and interpreting data	Keeping track of file versions can be important part of the data lineage (provenance). Will you define rules for file versioning? Will you use a version control system such as git?
Which of the following approaches will you apply?	followingApproachesApply	question	Processing, analysing and interpreting data	
Follow-up 2	followUp	question	About the Data Management Plan	
Follow-up 1	followUp2	question	About the Data Management Plan	
